"country","total_suicide","avg_rate"
"Albania",1970,2.48589185111828
"Antigua and Barbuda",11,0.533154595446429
"Argentina",93862,10.5304302913919
"Armenia",2422,3.0311598394619
"Aruba",120,7.57177456780417
"Australia",80279,12.6699308001239
"Austria",60179,24.1238770217654
"Azerbaijan",3366,2.96099532845
"Bahamas",107,1.26321386346552
"Bahrain",463,1.85405770438095
"Barbados",205,2.77324877230376
"Belarus",74974,24.2774783350858
"Belgium",75948,22.1541913436577
"Belize",352,5.53219790951471
"Bermuda",6,2.40975501104167
"Bosnia and Herzegovina",3591,9.41151430158333
"Brazil",250824,5.6811157412027
"Brunei",123,2.24953069079365
"Bulgaria",42868,19.2773642360949
"Canada",128382,12.9916684967738
"Cape Verde",42,11.1530903220833
"Cayman Islands",0,0
"Chile",44126,9.89909233320495
"Colombia",54136,5.38936915161458
"Costa Rica",7346,6.83403178936806
"Croatia",29400,24.7864007007813
"Cuba",41418,13.7655789796486
"Cyprus",412,2.87369055023039
"Czechia",51664,18.8684628615937
"Denmark",15297,8.38199829352478
"Dominica",4,1.12117961444444
"Ecuador",22595,6.06271558039414
"Egypt",1206,0.0904828536583333
"El Salvador",13865,11.1254800982232
"Estonia",12671,29.7273224918529
"Fiji",304,5.10529603861364
"Finland",33677,17.8471376948626
"France",395500,22.4466081138727
"French Guiana",264,11.7425788094265
"Georgia",4971,4.17808684921814
"Germany",291262,15.5598096101603
"Greece",14385,4.1067847172973
"Grenada",38,2.11859114005769
"Guadeloupe",583,8.80925393910294
"Guatemala",8403,2.98253652116422
"Guyana",3438,20.7056513898488
"Hong Kong",29691,17.4828028056194
"Hungary",130018,39.6752704841623
"Iceland",1230,12.2074626357237
"Iran",7299,3.21004708147222
"Ireland",13960,10.2305175112685
"Israel",12663,8.78875705163816
"Italy",157074,8.71492842317793
"Jamaica",198,0.439314964905303
"Japan",937614,22.1925494341532
"Kazakhstan",123151,29.3302818563922
"Kiribati",53,6.10067287386111
"Kuwait",1013,1.05588491225269
"Kyrgyzstan",16436,14.8100539623358
"Latvia",24861,32.4798808772361
"Lithuania",42166,37.6922888577452
"Luxembourg",2367,17.3142295297815
"Macau",27,14.3118247975
"Maldives",20,1.3674223449
"Malta",587,4.23457445001126
"Martinique",538,9.740469280125
"Mauritius",4062,10.3344389593246
"Mayotte",6,2.21646814135417
"Mexico",117479,4.35348337298423
"Moldova",22447,17.6746621680811
"Mongolia",450,8.10636794820833
"Montenegro",472,9.950312567775
"Netherlands",60205,11.0509557117544
"New Zealand",16447,14.2925485548929
"Nicaragua",2013,6.56717775880556
"North Macedonia",3477,10.7656788199132
"Norway",16992,10.4927278150495
"Oman",33,0.735742844083333
"Panama",3691,5.28517572684409
"Paraguay",5082,3.82760983227696
"Philippines",21330,1.57911173925725
"Poland",172562,12.6278549166599
"Portugal",28413,10.2367742258449
"Puerto Rico",10838,10.7101505734887
"Qatar",576,1.77766653895556
"Reunion",1266,13.0659629489107
"Romania",72793,9.15126998092105
"Russia",1500992,33.2493925183727
"Saint Kitts and Nevis",0,0
"Saint Lucia",244,7.06416603621094
"San Marino",21,9.77064213576389
"Sao Tome and Principe",4,1.54134228788889
"Serbia",24179,22.1643416964352
"Seychelles",98,7.48017625035185
"Singapore",11510,17.8452491333536
"Slovakia",13437,8.91985676915323
"Slovenia",16805,31.0136024172554
"South Africa",7321,0.964470744245833
"South Korea",261730,25.1357404335215
"Spain",110097,8.9335081977545
"Sri Lanka",80747,37.7825070980469
"Suriname",2492,22.1335513776136
"Sweden",37800,11.5101347013421
"Switzerland",26217,10.7974146905608
"Thailand",129899,7.18144664624755
"Trinidad and Tobago",4447,12.7143241484343
"Turkey",10131,2.37119057436905
"Turkmenistan",9644,8.77158990634314
"Ukraine",365170,25.8450199360808
"United Arab Emirates",622,1.31794334152778
"United Kingdom",166314,7.62623477131798
"United States of America",1201401,13.6016069816382
"Uruguay",14647,18.1711659383701
"Uzbekistan",44063,8.49075675477222
"Virgin Islands (USA)",113,6.29139133437917
