"country","total_suicide","total_population","suiciderate"
"Albania",1970,86992712,2.26455751833556
"Antigua and Barbuda",11,2054919,0.53530090480452
"Argentina",93862,1190237731,7.88598761031883
"Armenia",2422,106743177,2.26899748355813
"Aruba",120,1762045,6.81026875023056
"Australia",80279,644390340,12.4581321315276
"Austria",60179,287309014,20.9457403240401
"Azerbaijan",3366,166488200,2.0217649058612
"Bahamas",107,7715548,1.38681011381175
"Bahrain",463,16753926,2.76353136572288
"Barbados",205,7590791,2.70064081595712
"Belarus",74974,316458426,23.6915796326434
"Belgium",75948,358792221,21.1676830083783
"Belize",352,7056615,4.9882273583014
"Bermuda",91,199400,45.6369107321966
"Bosnia and Herzegovina",3591,42979530,8.35514022605645
"Brazil",250824,5506639748,4.5549375204924
"Brunei Darussalam",123,6897928,1.78314415575228
"Bulgaria",42868,281430358,15.2321875666306
"Cabo Verde",42,452179,9.28835704444479
"Canada",128382,961817783,13.3478505252382
"Cayman Islands",19,76400,24.869109947644
"Chile",44126,488388531,9.03501970237708
"Colombia",54136,1132467366,4.78035850085591
"Costa Rica",7346,114269988,6.42863461226582
"Croatia",29400,136763191,21.4970123064765
"Cuba",41418,372400833,11.1218870447586
"Cyprus",412,13050990,3.15684863753631
"Czechia",51664,313580329,16.4755232462302
"Denmark",15297,184802619,8.27748009350452
"Dominica",54,381700,14.1472360492533
"Ecuador",22595,386497941,5.84608547759379
"Egypt",1206,1290000722,0.0934883197685528
"El Salvador",13865,141455231,9.80168771559957
"Estonia",12671,45439196,27.8856166381113
"Fiji",304,8187391,3.71302653067381
"Finland",33677,178082258,18.9109237372765
"France",395500,1973574675,20.0397788343124
"French Guiana",264,2845094,9.27913102343894
"Georgia",4971,149149950,3.33288747331126
"Germany",291262,2024875612,14.384192207852
"Greece",14385,370210805,3.88562402980108
"Grenada",38,2365726,1.60627223947321
"Guadeloupe",583,6726650,8.66701850103692
"Guatemala",8403,329647370,2.5490875295016
"Guyana",3438,18136689,18.9560509087408
"Hong Kong SAR",29691,219517900,13.5255484860232
"Hungary",130018,368771868,35.2570277947558
"Iceland",1230,9720411,12.6537859355947
"Iran",7299,214547685,3.40204090293493
"Ireland",13960,127657286,10.9355293672779
"Israel",12663,201769321,6.27597889373876
"Italy",157074,2036169804,7.714189636416
"Jamaica",198,49182628,0.402581171546994
"Japan",937614,4340184444,21.6030911150835
"Kazakhstan",123151,489516669,25.1576724142156
"Kiribati",53,831245,6.37597820137264
"Kuwait",1013,64721091,1.56517757094051
"Kyrgyzstan",16436,142701887,11.5177173515582
"Latvia",24861,80935340,30.7171131918393
"Lithuania",42166,111651414,37.765755478923
"Luxembourg",2367,15014856,15.7643869511636
"Macau",27,346542,7.79126339664456
"Maldives",20,2900246,0.689596675592346
"Malta",587,13000203,4.51531410701818
"Martinique",538,6367160,8.44960704615559
"Mauritius",4062,38578406,10.5292064166674
"Mayotte",6,754088,0.795663105632234
"Mexico",117479,3134137916,3.74836727510494
"Moldova",22447,133567888,16.8056861092241
"Mongolia",450,4682880,9.60947109471095
"Montenegro",472,5834863,8.08930732392517
"Netherlands",60205,557514968,10.7988132078276
"New Zealand",16447,120653130,13.6316397262135
"Nicaragua",7613,31742633,23.9835176873954
"Norway",16992,154960487,10.9653759671006
"Oman",33,8987087,0.367193507751733
"Panama",3691,80689559,4.57432169136034
"Paraguay",5082,144728419,3.51140434968753
"Philippines",21330,1547319219,1.37851322067757
"Poland",172562,1307487229,13.1979874198832
"Portugal",28413,345808361,8.21640052826831
"Puerto Rico",10838,122918125,8.81725132074704
"Qatar",576,22097285,2.60665507097365
"Reunion",1266,10310470,12.2787806957394
"Rodrigues",43,420404,10.2282566293375
"Romania",72793,784636441,9.27729024504994
"Russia",1500992,4868342820,30.831682473832
"Saint Kitts and Nevis",25,158000,15.8227848101266
"Saint Lucia",244,4319728,5.64850379468337
"Saint Vincent and Grenadines",124,2704244,4.58538504661562
"San Marino",26,330526,7.86624955374161
"Sao Tome and Principe",4,265500,1.50659133709981
"Serbia",24179,126140138,19.1683633642449
"Seychelles",98,1392816,7.03610527162238
"Singapore",11510,107778741,10.6792860013089
"Slovakia",13437,155307192,8.65188522628108
"Slovenia",16805,58977219,28.4940529325399
"South Africa",7321,873130762,0.838476929071937
"South Korea",261730,1354944936,19.316652141796
"Spain",110097,1436877395,7.66224038203343
"Sri Lanka",80747,248810626,32.453195949919
"Suriname",2492,13222179,18.8471204330239
"Sweden",37800,317219522,11.9160383830349
"Switzerland",26217,249236010,10.5189454766187
"TFYR Macedonia",3477,45180501,7.69579779560213
"Thailand",129899,1847368111,7.03157098071181
"Trinidad and Tobago",4447,37245888,11.9395730342098
"Turkey",10131,482640582,2.09907752846196
"Turkmenistan",9644,128778418,7.48883248433755
"Ukraine",365170,1521043884,24.0078543322291
"United Arab Emirates",622,36502275,1.70400338061121
"United Kingdom",166314,2116720305,7.85715522297123
"United States of America",1201401,9637475270,12.4659308204897
"Uruguay",14647,100074643,14.6360751943926
"Uzbekistan",44063,609330032,7.23138491227362
"Venezuela (Bolivarian Republic of)",29504,640359486,4.60741203106032
"Virgin Islands (USA)",113,1960488,5.76387103619099
