"country","total_suicide","total_population","suiciderate","continent"
"Russia",1500992,4868342820,30.831682473832,"Europe"
"United States of America",1201401,9637475270,12.4659308204897,"North America"
"Japan",937614,4340184444,21.6030911150835,"Asia"
"France",395500,1973574675,20.0397788343124,"Europe"
"Ukraine",365170,1521043884,24.0078543322291,"Europe"
"Germany",291262,2024875612,14.384192207852,"Europe"
"South Korea",261730,1354944936,19.316652141796,"Asia"
"Brazil",250824,5506639748,4.5549375204924,"South America"
"Poland",172562,1307487229,13.1979874198832,"Europe"
"United Kingdom",166314,2116720305,7.85715522297123,"Europe"
