"country","total_suicide"
"Albania",1970
"Anguilla",2
"Antigua and Barbuda",11
"Argentina",93862
"Armenia",2422
"Aruba",120
"Australia",80279
"Austria",60179
"Azerbaijan",3366
"Bahamas",107
"Bahrain",463
"Barbados",205
"Belarus",74974
"Belgium",75948
"Belize",352
"Bermuda",91
"Bolivia",54
"Bosnia and Herzegovina",3591
"Brazil",250824
"British Virgin Islands",8
"Brunei Darussalam",123
"Bulgaria",42868
"Cabo Verde",42
"Canada",128382
"Cayman Islands",19
"Chile",44126
"Colombia",54136
"Costa Rica",7346
"Croatia",29400
"Cuba",41418
"Cyprus",412
"Czech Republic",51664
"Denmark",15297
"Dominica",54
"Dominican Republic",5312
"Ecuador",22595
"Egypt",1206
"El Salvador",13865
"Estonia",12671
"Falkland Islands (Malvinas)",1
"Fiji",304
"Finland",33677
"France",395500
"French Guiana",264
"Georgia",4971
"Germany",291262
"Greece",14385
"Grenada",38
"Guadeloupe",583
"Guatemala",8403
"Guyana",3438
"Haiti",28
"Honduras",1072
"Hong Kong SAR",29691
"Hungary",130018
"Iceland",1230
"Iran (Islamic Rep of)",7299
"Iraq",3
"Ireland",13960
"Israel",12663
"Italy",157074
"Jamaica",198
"Japan",937614
"Jordan",87
"Kazakhstan",123151
"Kiribati",53
"Kuwait",1013
"Kyrgyzstan",16436
"Latvia",24861
"Lithuania",42166
"Luxembourg",2367
"Macau",27
"Malaysia",939
"Maldives",20
"Malta",587
"Martinique",538
"Mauritius",4062
"Mayotte",6
"Mexico",117479
"Monaco",17
"Mongolia",450
"Montenegro",472
"Montserrat",1
"Morocco",664
"Netherlands",60205
"Netherlands Antilles",107
"New Zealand",16447
"Nicaragua",7613
"Norway",16992
"Occupied Palestinian Territory",58
"Oman",33
"Panama",3691
"Paraguay",5082
"Peru",7711
"Philippines",21330
"Poland",172562
"Portugal",28413
"Puerto Rico",10838
"Qatar",576
"Republic of Korea",261730
"Republic of Moldova",22447
"Reunion",1266
"Rodrigues",43
"Romania",72793
"Russian Federation",1500992
"Saint Kitts and Nevis",25
"Saint Lucia",244
"Saint Pierre and Miquelon",5
"Saint Vincent and Grenadines",124
"San Marino",26
"Sao Tome and Principe",4
"Saudi Arabia",135
"Serbia",24179
"Seychelles",98
"Singapore",11510
"Slovakia",13437
"Slovenia",16805
"South Africa",7321
"Spain",110097
"Sri Lanka",80747
"Suriname",2492
"Sweden",37800
"Switzerland",26217
"Syrian Arab Republic",417
"Tajikistan",4773
"TFYR Macedonia",3477
"Thailand",129899
"Trinidad and Tobago",4447
"Tunisia",32
"Turkey",10131
"Turkmenistan",9644
"Turks and Caicos Islands",6
"Ukraine",365170
"United Arab Emirates",622
"United Kingdom",166314
"United States of America",1201401
"Uruguay",14647
"Uzbekistan",44063
"Venezuela (Bolivarian Republic of)",29504
"Virgin Islands (USA)",113
"Zimbabwe",764
